Canadian Interest Rates


Daily series: 2024-01-01 - 2025-08-28
V39079 = Target for the overnight rate

Summary,Date,V39079
Low,2025-08-28,2.75
High,2024-06-05,5.00
Average,2024-01-01 - 2025-08-28,3.87

Date,V39079
2025-08-28, 2.75
2025-08-27, 2.75
2025-08-26, 2.75
2025-08-25, 2.75
2025-08-22, 2.75
2025-08-21, 2.75
2025-08-20, 2.75
2025-08-19, 2.75
2025-08-18, 2.75
2025-08-15, 2.75
2025-08-14, 2.75
2025-08-13, 2.75
2025-08-12, 2.75
2025-08-11, 2.75
2025-08-08, 2.75
2025-08-07, 2.75
2025-08-06, 2.75
2025-08-05, 2.75
2025-08-04, 2.75
2025-08-01, 2.75
2025-07-31, 2.75
2025-07-30, 2.75
2025-07-29, 2.75
2025-07-28, 2.75
2025-07-25, 2.75
2025-07-24, 2.75
2025-07-23, 2.75
2025-07-22, 2.75
2025-07-21, 2.75
2025-07-18, 2.75
2025-07-17, 2.75
2025-07-16, 2.75
2025-07-15, 2.75
2025-07-14, 2.75
2025-07-11, 2.75
2025-07-10, 2.75
2025-07-09, 2.75
2025-07-08, 2.75
2025-07-07, 2.75
2025-07-04, 2.75
2025-07-03, 2.75
2025-07-02, 2.75
2025-07-01, 2.75
2025-06-30, 2.75
2025-06-27, 2.75
2025-06-26, 2.75
2025-06-25, 2.75
2025-06-24, 2.75
2025-06-23, 2.75
2025-06-20, 2.75
2025-06-19, 2.75
2025-06-18, 2.75
2025-06-17, 2.75
2025-06-16, 2.75
2025-06-13, 2.75
2025-06-12, 2.75
2025-06-11, 2.75
2025-06-10, 2.75
2025-06-09, 2.75
2025-06-06, 2.75
2025-06-05, 2.75
2025-06-04, 2.75
2025-06-03, 2.75
2025-06-02, 2.75
2025-05-30, 2.75
2025-05-29, 2.75
2025-05-28, 2.75
2025-05-27, 2.75
2025-05-26, 2.75
2025-05-23, 2.75
2025-05-22, 2.75
2025-05-21, 2.75
2025-05-20, 2.75
2025-05-19, 2.75
2025-05-16, 2.75
2025-05-15, 2.75
2025-05-14, 2.75
2025-05-13, 2.75
2025-05-12, 2.75
2025-05-09, 2.75
2025-05-08, 2.75
2025-05-07, 2.75
2025-05-06, 2.75
2025-05-05, 2.75
2025-05-02, 2.75
2025-05-01, 2.75
2025-04-30, 2.75
2025-04-29, 2.75
2025-04-28, 2.75
2025-04-25, 2.75
2025-04-24, 2.75
2025-04-23, 2.75
2025-04-22, 2.75
2025-04-21, 2.75
2025-04-18, 2.75
2025-04-17, 2.75
2025-04-16, 2.75
2025-04-15, 2.75
2025-04-14, 2.75
2025-04-11, 2.75
2025-04-10, 2.75
2025-04-09, 2.75
2025-04-08, 2.75
2025-04-07, 2.75
2025-04-04, 2.75
2025-04-03, 2.75
2025-04-02, 2.75
2025-04-01, 2.75
2025-03-31, 2.75
2025-03-28, 2.75
2025-03-27, 2.75
2025-03-26, 2.75
2025-03-25, 2.75
2025-03-24, 2.75
2025-03-21, 2.75
2025-03-20, 2.75
2025-03-19, 2.75
2025-03-18, 2.75
2025-03-17, 2.75
2025-03-14, 2.75
2025-03-13, 2.75
2025-03-12, 3.00
2025-03-11, 3.00
2025-03-10, 3.00
2025-03-07, 3.00
2025-03-06, 3.00
2025-03-05, 3.00
2025-03-04, 3.00
2025-03-03, 3.00
2025-02-28, 3.00
