"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","83.1","","","","1"
"1992-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","82.0","","","","1"
"1992-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.6","","","","1"
"1992-01","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.7","","","","1"
"1992-01","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","94.1","","","","1"
"1992-01","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","73.6","","","","1"
"1992-01","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","85.3","","","","1"
"1992-01","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","78.9","","","","1"
"1992-01","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","79.8","","","","1"
"1992-01","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","83.3","","","","1"
"1992-01","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","84.2","","","","1"
"1992-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","83.2","","","","1"
"1992-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","82.2","","","","1"
"1992-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.6","","","","1"
"1992-02","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.7","","","","1"
"1992-02","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","94.8","","","","1"
"1992-02","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","72.7","","","","1"
"1992-02","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","85.1","","","","1"
"1992-02","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","78.9","","","","1"
"1992-02","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","79.9","","","","1"
"1992-02","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","83.5","","","","1"
"1992-02","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","84.4","","","","1"
"1992-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","83.6","","","","1"
"1992-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","82.9","","","","1"
"1992-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.5","","","","1"
"1992-03","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.6","","","","1"
