"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Real gross domestic product, volume index 2017=100","2017=100","402","units","0","v61992650","1.1","17.0","","","","1"
"1961-01","Canada","2016A000011124","Real gross domestic product, volume index 2017=100, percent change","2017=100","402","units","0","v61992651","1.2","","..","","","1"
"1961-01","Canada","2016A000011124","Real gross domestic income, volume index 2017=100","2017=100","402","units","0","v61992652","1.3","16.3","","","","1"
"1961-01","Canada","2016A000011124","Real gross domestic income, volume index 2017=100, percent change","Percent","239","units","0","v61992653","1.4","","..","","","1"
"1961-01","Canada","2016A000011124","Real gross domestic product, contribution to real gross domestic income percent change","Percent","239","units","0","v61992654","1.5","","..","","","3"
"1961-01","Canada","2016A000011124","Real exchange rate, contribution to real gross domestic income percent change","Percent","239","units","0","v61992655","1.6","","..","","","3"
"1961-01","Canada","2016A000011124","Terms of trade, contribution to real gross domestic income percent change","Percent","239","units","0","v61992656","1.7","","..","","","3"
"1961-01","Canada","2016A000011124","Real gross national income, volume index 2017=100","2017=100","402","units","0","v61992657","1.8","16.2","","","","1"
"1961-01","Canada","2016A000011124","Real gross national income, volume index 2017=100, percent change","Percent","239","units","0","v61992658","1.9","","..","","","1"
"1961-01","Canada","2016A000011124","Real gross domestic income, contribution to real gross national income percent change","Percent","239","units","0","v61992744","1.10","","..","","","3"
"1961-01","Canada","2016A000011124","Investment income received from non-residents, contribution to real gross national income percent change","Percent","239","units","0","v61992660","1.11","","..","","","3"
"1961-01","Canada","2016A000011124","Less: investment income paid to non-residents, contribution to real gross national income percent change","Percent","239","units","0","v61992661","1.12","","..","","","3"
"1961-01","Canada","2016A000011124","Compensation of employees, Canadians working abroad, contribution to real gross national income percent change","Percent","239","units","0","v62690309","1.17","","..","","","3"
"1961-01","Canada","2016A000011124","Less: compensation of employees, non-residents working in Canada, contribution to real gross national income percent change","Percent","239","units","0","v62690310","1.18","","..","","","3"
"1961-01","Canada","2016A000011124","Gross final domestic expenditure, implicit price index 2017=100","2017=100","402","units","0","v61992662","1.13","11.6","","","","1"
"1961-01","Canada","2016A000011124","Real exchange rate, index 2017=100","2017=100","402","units","0","v61992663","1.14","142.4","","","","1"
"1961-01","Canada","2016A000011124","Terms of trade, index 2017=100","2017=100","402","units","0","v61992664","1.15","84.2","","","","1"
"1961-01","Canada","2016A000011124","Real household disposable income, volume index 2017=100","2017=100","402","units","0","v61992665","1.16","16.1","","","","1"
"1961-04","Canada","2016A000011124","Real gross domestic product, volume index 2017=100","2017=100","402","units","0","v61992650","1.1","17.4","","","","1"
"1961-04","Canada","2016A000011124","Real gross domestic product, volume index 2017=100, percent change","2017=100","402","units","0","v61992651","1.2","2.5","","","","1"
"1961-04","Canada","2016A000011124","Real gross domestic income, volume index 2017=100","2017=100","402","units","0","v61992652","1.3","16.7","","","","1"
"1961-04","Canada","2016A000011124","Real gross domestic income, volume index 2017=100, percent change","Percent","239","units","0","v61992653","1.4","2.5","","","","1"
"1961-04","Canada","2016A000011124","Real gross domestic product, contribution to real gross domestic income percent change","Percent","239","units","0","v61992654","1.5","2.532","","","","3"
"1961-04","Canada","2016A000011124","Real exchange rate, contribution to real gross domestic income percent change","Percent","239","units","0","v61992655","1.6","-0.005","","","","3"
"1961-04","Canada","2016A000011124","Terms of trade, contribution to real gross domestic income percent change","Percent","239","units","0","v61992656","1.7","-0.032","","","","3"
"1961-04","Canada","2016A000011124","Real gross national income, volume index 2017=100","2017=100","402","units","0","v61992657","1.8","16.7","","","","1"
"1961-04","Canada","2016A000011124","Real gross national income, volume index 2017=100, percent change","Percent","239","units","0","v61992658","1.9","2.6","","","","1"
"1961-04","Canada","2016A000011124","Real gross domestic income, contribution to real gross national income percent change","Percent","239","units","0","v61992744","1.10","2.541","","","","3"
"1961-04","Canada","2016A000011124","Investment income received from non-residents, contribution to real gross national income percent change","Percent","239","units","0","v61992660","1.11","0.052","","","","3"
"1961-04","Canada","2016A000011124","Less: investment income paid to non-residents, contribution to real gross national income percent change","Percent","239","units","0","v61992661","1.12","0.036","","","","3"
