TERMS AND CONDITIONS,,
https://www.bankofcanada.ca/terms/,,
,,
SERIES,,
id,label,description
CAPACITYSIGNIF,Significant difficulty (% of firms),Ability to Meet Demand - How would you rate the current ability of your firm to meet an unexpected increase in demand?
CAPACITYSOME,Some difficulty (% of firms),Ability to Meet Demand - How would you rate the current ability of your firm to meet an unexpected increase in demand?
,,
OBSERVATIONS,,
date,CAPACITYSIGNIF,CAPACITYSOME
1999Q3,11,38
1999Q4,9,38
2000Q1,13,41
2000Q2,6,52
2000Q3,13,43
2000Q4,8,35
2001Q1,12,37
2001Q2,0,35
2001Q3,4,19
2001Q4,1,34
2002Q1,4,26
2002Q2,4,39
2002Q3,6,35
2002Q4,4,33
2003Q1,6,35
2003Q2,7,34
2003Q3,6,29
2003Q4,6,32
2004Q1,4,27
2004Q2,8,38
2004Q3,10,33
2004Q4,7,38
2005Q1,11,27
2005Q2,9,35
2005Q3,10,36
2005Q4,15,35
2006Q1,12,33
2006Q2,14,34
2006Q3,15,32
2006Q4,14,36
2007Q1,18,32
2007Q2,14,41
2007Q3,12,42
2007Q4,18,42
2008Q1,15,29
2008Q2,9,40
2008Q3,11,36
2008Q4,7,29
2009Q1,1,29
2009Q2,3,25
2009Q3,5,17
2009Q4,3,26
2010Q1,4,26
2010Q2,4,35
2010Q3,9,26
2010Q4,3,35
2011Q1,5,38
2011Q2,5,47
2011Q3,8,35
2011Q4,10,36
2012Q1,7,32
2012Q2,8,38
2012Q3,3,44
2012Q4,6,28
2013Q1,4,33
2013Q2,4,40
2013Q3,5,48
2013Q4,5,34
2014Q1,6,39
2014Q2,4,30
2014Q3,6,35
2014Q4,7,33
2015Q1,5,38
2015Q2,10,37
2015Q3,3,25
2015Q4,6,30
2016Q1,6,33
2016Q2,5,30
2016Q3,3,35
2016Q4,6,31
2017Q1,10,29
2017Q2,8,38
2017Q3,9,38
2017Q4,12,44
2018Q1,12,35
2018Q2,17,40
2018Q3,8,48
2018Q4,17,40
2019Q1,10,21
2019Q2,8,34
2019Q3,13,38
2019Q4,10,43
2020Q1,8,38
2020Q2,2,25
2020Q3,10,34
2020Q4,14,43
2021Q1,14,32
2021Q2,20,41
2021Q3,26,39
2021Q4,28,50
2022Q1,30,51
2022Q2,21,58
2022Q3,28,48
2022Q4,18,51
2023Q1,8,51
2023Q2,11,36
2023Q3,7,39
2023Q4,15,30
2024Q1,6,47
2024Q2,10,34
2024Q3,6,41
2024Q4,9,30
2025Q1,5,28
2025Q2,5,34
