Year,Month,9. Trade policy
1985,1,122.6139605
1985,2,41.76222343
1985,3,107.9257282
1985,4,194.7528675
1985,5,124.3916588
1985,6,153.1636137
1985,7,59.12715155
1985,8,109.6642633
1985,9,279.7238593
1985,10,121.7935483
1985,11,93.41195781
1985,12,70.16551255
1986,1,116.321967
1986,2,42.16766678
1986,3,165.3136645
1986,4,111.9001585
1986,5,127.8739257
1986,6,151.8955364
1986,7,112.8196921
1986,8,54.13861082
1986,9,73.91655138
1986,10,151.8781039
1986,11,52.96164774
1986,12,70.15589579
1987,1,80.93437927
1987,2,82.8546791
1987,3,118.9879514
1987,4,136.7778931
1987,5,74.70363821
1987,6,172.8611125
1987,7,73.26131292
1987,8,29.54136306
1987,9,71.66129502
1987,10,256.5083057
1987,11,85.57797683
1987,12,84.76405368
1988,1,133.0764641
1988,2,125.4179559
1988,3,99.22941664
1988,4,100.8163483
1988,5,73.97964178
1988,6,75.68229213
1988,7,25.36655543
1988,8,110.6682793
1988,9,94.9443786
1988,10,59.34085966
1988,11,205.7885052
1988,12,100.3949488
1989,1,104.426778
1989,2,43.75861845
1989,3,66.32034088
1989,4,68.26013605
1989,5,113.8857847
1989,6,48.95255362
1989,7,90.93341301
1989,8,96.89508842
1989,9,58.60449245
1989,10,63.35515227
1989,11,73.17665614
1989,12,125.0748182
1990,1,88.0833552
1990,2,55.61059863
1990,3,80.18742695
1990,4,56.70054933
1990,5,265.8728806
1990,6,269.2483731
1990,7,120.6732061
1990,8,30.4925558
1990,9,99.18508685
1990,10,62.89020714
1990,11,122.8208523
1990,12,138.3665816
1991,1,97.83042065
1991,2,128.9939869
1991,3,148.2803399
1991,4,78.18750623
1991,5,103.221136
1991,6,87.47533142
1991,7,94.95476986
1991,8,48.59601849
1991,9,56.24261324
1991,10,84.76311655
1991,11,116.5299382
1991,12,207.1696077
1992,1,134.7701747
1992,2,99.30374725
1992,3,164.2729699
1992,4,97.65488686
1992,5,117.3382573
1992,6,167.7134397
1992,7,116.5589179
1992,8,286.8104685
1992,9,284.9667036
1992,10,422.2296527
1992,11,312.58801
1992,12,132.0809048
1993,1,196.476444
1993,2,117.2044275
1993,3,135.2428403
1993,4,127.1870517
1993,5,260.901641
1993,6,192.2062312
1993,7,386.1542131
1993,8,608.1632227
1993,9,427.1194886
1993,10,354.2460408
1993,11,1020.585881
1993,12,488.9748047
1994,1,199.7464596
1994,2,185.5827827
1994,3,268.8127582
1994,4,348.2127802
1994,5,277.5694842
1994,6,201.4422814
1994,7,309.5993266
1994,8,224.7797952
1994,9,160.8625417
1994,10,216.2580729
1994,11,627.2054709
1994,12,362.9744643
1995,1,433.5823537
1995,2,207.1115153
1995,3,179.9147795
1995,4,56.04629469
1995,5,114.5283144
1995,6,122.9169833
1995,7,46.22797908
1995,8,72.20698301
1995,9,22.15260295
1995,10,129.4947843
1995,11,80.07665671
1995,12,38.75243572
1996,1,44.63938756
1996,2,191.2329727
1996,3,138.0575331
1996,4,66.9024176
1996,5,83.59729988
1996,6,84.41484618
1996,7,51.91471848
1996,8,60.32611108
1996,9,51.5124136
1996,10,67.01628866
1996,11,89.65483343
1996,12,118.919409
1997,1,44.15836531
1997,2,98.15269557
1997,3,50.6642998
1997,4,67.03516653
1997,5,139.8841414
1997,6,68.95702922
1997,7,89.93560231
1997,8,134.5433659
1997,9,114.9946355
1997,10,100.8447973
1997,11,180.9150491
1997,12,66.28422913
1998,1,69.24200879
1998,2,43.27017765
1998,3,38.72152442
1998,4,74.51391112
1998,5,108.88368
1998,6,55.87252975
1998,7,45.71645066
1998,8,41.23887202
1998,9,66.27179358
1998,10,74.20425174
1998,11,74.3957713
1998,12,67.7529006
1999,1,69.51507401
1999,2,75.00279157
1999,3,119.7214602
1999,4,52.6614536
1999,5,24.0564414
1999,6,59.84002655
1999,7,51.20045755
1999,8,49.79483833
1999,9,37.1051706
1999,10,45.31511942
1999,11,126.2109793
1999,12,128.2025719
2000,1,71.91424718
2000,2,50.35241291
2000,3,88.17975384
2000,4,82.57421586
2000,5,245.009584
2000,6,35.7659255
2000,7,60.77301621
