Data Type,Year,Month,General Customs Value
General Customs Value,2000,3,20618285791.00
General Customs Value,2000,9,19336740932.00
General Customs Value,2000,4,18506995213.00
General Customs Value,2000,11,19655820895.00
General Customs Value,2000,5,19558432594.00
General Customs Value,2000,8,19632542252.00
General Customs Value,2000,7,16672274174.00
General Customs Value,2000,12,18998565757.00
General Customs Value,2000,1,17705142820.00
General Customs Value,2000,6,20143999124.00
General Customs Value,2000,10,20292915417.00
General Customs Value,2000,2,18087403941.00
General Customs Value,2001,11,17021127108.00
General Customs Value,2001,10,17710807860.00
General Customs Value,2001,12,15152914512.00
General Customs Value,2001,5,20125920019.00
General Customs Value,2001,4,19014569251.00
General Customs Value,2001,6,19373375066.00
General Customs Value,2001,9,16677388206.00
General Customs Value,2001,1,19534409475.00
General Customs Value,2001,8,18182109849.00
General Customs Value,2001,3,19823916955.00
General Customs Value,2001,2,17876357906.00
General Customs Value,2001,7,16475919276.00
General Customs Value,2002,4,18250897623.00
General Customs Value,2002,3,17853847091.00
General Customs Value,2002,6,17642109632.00
General Customs Value,2002,1,16466675332.00
General Customs Value,2002,5,18826955355.00
General Customs Value,2002,12,16644455970.00
General Customs Value,2002,11,17568173365.00
General Customs Value,2002,9,17921508939.00
General Customs Value,2002,8,18026347356.00
General Customs Value,2002,7,16064884025.00
General Customs Value,2002,10,19013146852.00
General Customs Value,2002,2,16310630316.00
General Customs Value,2003,11,18889265605.00
General Customs Value,2003,5,19248388058.00
General Customs Value,2003,10,20430481060.00
General Customs Value,2003,8,17868209056.00
General Customs Value,2003,2,17592956409.00
General Customs Value,2003,1,17808564109.00
General Customs Value,2003,3,20262089845.00
General Customs Value,2003,7,17046944446.00
General Customs Value,2003,12,18195883816.00
General Customs Value,2003,4,18443413433.00
General Customs Value,2003,6,18585339978.00
General Customs Value,2003,9,19794534154.00
General Customs Value,2004,1,18571314529.00
General Customs Value,2004,7,19717772113.00
General Customs Value,2004,5,21087390141.00
General Customs Value,2004,10,22695165466.00
General Customs Value,2004,9,21896027384.00
General Customs Value,2004,2,19391469093.00
General Customs Value,2004,12,20835721160.00
General Customs Value,2004,11,22698333744.00
General Customs Value,2004,6,23011401736.00
General Customs Value,2004,8,22054994454.00
General Customs Value,2004,3,22320340395.00
General Customs Value,2004,4,21648015330.00
General Customs Value,2005,9,25756758880.00
General Customs Value,2005,2,21897415178.00
General Customs Value,2005,1,21725816002.00
General Customs Value,2005,5,23056123657.00
General Customs Value,2005,8,24907157733.00
General Customs Value,2005,6,24007969495.00
General Customs Value,2005,4,23439451484.00
General Customs Value,2005,3,23915881826.00
General Customs Value,2005,7,20607080908.00
General Customs Value,2005,10,26919905432.00
General Customs Value,2005,12,25545099872.00
General Customs Value,2005,11,26091546898.00
General Customs Value,2006,5,26384745210.00
General Customs Value,2006,6,26297266240.00
General Customs Value,2006,12,23718438034.00
General Customs Value,2006,9,24929076974.00
General Customs Value,2006,4,25270158848.00
General Customs Value,2006,11,24898653122.00
General Customs Value,2006,10,25418702358.00
General Customs Value,2006,3,26527114637.00
General Customs Value,2006,8,26352566741.00
General Customs Value,2006,2,24862884569.00
General Customs Value,2006,1,26204714112.00
General Customs Value,2006,7,22551928898.00
General Customs Value,2007,3,27399946260.00
General Customs Value,2007,6,27627941915.00
General Customs Value,2007,5,26965520028.00
General Customs Value,2007,4,26012146882.00
General Customs Value,2007,11,27356789950.00
General Customs Value,2007,7,24466880957.00
General Customs Value,2007,2,23060981352.00
General Customs Value,2007,1,24552152020.00
General Customs Value,2007,8,26435331905.00
General Customs Value,2007,9,26092955764.00
General Customs Value,2007,10,28695458845.00
General Customs Value,2007,12,24444773255.00
General Customs Value,2008,2,27653076138.00
General Customs Value,2008,3,29316614221.00
General Customs Value,2008,1,26274366487.00
General Customs Value,2008,4,31031202755.00
General Customs Value,2008,12,19695777167.00
General Customs Value,2008,10,27969926343.00
General Customs Value,2008,6,30916044543.00
General Customs Value,2008,5,29921059326.00
General Customs Value,2008,9,29939641191.00
General Customs Value,2008,8,29604444647.00
General Customs Value,2008,7,30679203118.00
General Customs Value,2008,11,22553913487.00
General Customs Value,2009,2,17420209385.00
General Customs Value,2009,9,19938042638.00
General Customs Value,2009,5,16706748728.00
General Customs Value,2009,10,21154543126.00
General Customs Value,2009,11,20055738722.00
General Customs Value,2009,4,17348940997.00
General Customs Value,2009,12,21321095280.00
General Customs Value,2009,3,17629485055.00
General Customs Value,2009,7,18536711472.00
General Customs Value,2009,1,17275221943.00
General Customs Value,2009,6,18354902755.00
General Customs Value,2009,8,19169109600.00
General Customs Value,2010,1,21653836333.00
General Customs Value,2010,9,23041413807.00
General Customs Value,2010,6,24693616035.00
General Customs Value,2010,11,22909191368.00
General Customs Value,2010,7,21299574779.00
General Customs Value,2010,4,23656975053.00
General Customs Value,2010,5,23658132044.00
General Customs Value,2010,3,24316311419.00
General Customs Value,2010,2,21233211441.00
General Customs Value,2010,10,23444450833.00
General Customs Value,2010,8,23457003102.00
