Data_Type,Year,Month,Calculated_Duties
Calculated Duties,2008,11,6538989.00
Calculated Duties,2006,10,9064216.00
Calculated Duties,2007,6,7726898.00
Calculated Duties,2008,4,9026185.00
Calculated Duties,2012,7,11391509.00
Calculated Duties,2019,10,21326764.00
Calculated Duties,2015,11,15200504.00
Calculated Duties,2013,2,11931582.00
Calculated Duties,2018,11,152331746.00
Calculated Duties,2007,5,7933004.00
Calculated Duties,2001,12,5123547.00
Calculated Duties,2013,1,13558543.00
Calculated Duties,2002,7,5408210.00
Calculated Duties,2001,5,4676052.00
Calculated Duties,2002,11,6223407.00
Calculated Duties,2008,1,10288820.00
Calculated Duties,2002,12,6361159.00
Calculated Duties,2009,12,7953519.00
Calculated Duties,2010,8,10197007.00
Calculated Duties,2015,12,13849301.00
Calculated Duties,2019,8,20318826.00
Calculated Duties,2014,2,14636986.00
Calculated Duties,2013,12,13015953.00
Calculated Duties,2004,9,7047018.00
Calculated Duties,2020,9,24742372.00
Calculated Duties,2004,2,8511965.00
Calculated Duties,2010,2,8993678.00
Calculated Duties,2001,8,6218276.00
Calculated Duties,2011,11,10834120.00
Calculated Duties,2021,11,26476601.00
Calculated Duties,2005,8,9709795.00
Calculated Duties,2024,12,34677992.00
Calculated Duties,2014,9,14264623.00
Calculated Duties,2015,2,14348665.00
Calculated Duties,2016,2,17819772.00
Calculated Duties,2023,2,27411556.00
Calculated Duties,2007,3,7983684.00
Calculated Duties,2012,5,11555501.00
Calculated Duties,2017,7,15464017.00
Calculated Duties,2024,3,37868726.00
Calculated Duties,2008,2,9817582.00
Calculated Duties,2011,7,8905578.00
Calculated Duties,2004,11,10514858.00
Calculated Duties,2018,9,155017126.00
Calculated Duties,2013,4,12033319.00
Calculated Duties,2005,5,11630995.00
Calculated Duties,2010,5,11870971.00
Calculated Duties,2002,3,4638651.00
Calculated Duties,2008,9,8627817.00
Calculated Duties,2019,1,153069426.00
Calculated Duties,2021,9,25180298.00
Calculated Duties,2005,11,7472088.00
Calculated Duties,2002,10,19942523.00
Calculated Duties,2009,3,6713626.00
Calculated Duties,2021,3,24279624.00
Calculated Duties,2021,12,27799814.00
Calculated Duties,2010,11,7505194.00
Calculated Duties,2016,7,13846076.00
Calculated Duties,2022,3,32159298.00
Calculated Duties,2022,10,31108540.00
Calculated Duties,2007,4,10201817.00
Calculated Duties,2020,2,20684066.00
Calculated Duties,2004,8,8247069.00
Calculated Duties,2009,4,7173195.00
Calculated Duties,2022,8,39755439.00
Calculated Duties,2014,5,14893952.00
Calculated Duties,2010,7,9813472.00
Calculated Duties,2017,3,22133161.00
Calculated Duties,2016,10,14331238.00
Calculated Duties,2024,6,35766077.00
Calculated Duties,2023,6,27352890.00
Calculated Duties,2002,8,7103531.00
Calculated Duties,2018,2,18804707.00
Calculated Duties,2006,8,7313052.00
Calculated Duties,2024,7,36300139.00
Calculated Duties,2008,7,9678773.00
Calculated Duties,2017,9,18099228.00
Calculated Duties,2016,9,16441464.00
Calculated Duties,2009,5,7905081.00
Calculated Duties,2023,7,31747497.00
Calculated Duties,2005,10,8780554.00
Calculated Duties,2020,7,28277086.00
Calculated Duties,2024,1,34243211.00
Calculated Duties,2009,10,8518414.00
Calculated Duties,2008,5,8709410.00
Calculated Duties,2009,2,6624904.00
Calculated Duties,2020,8,25609255.00
Calculated Duties,2011,3,11112880.00
Calculated Duties,2006,2,7697513.00
Calculated Duties,2010,4,12547895.00
Calculated Duties,2017,11,25378172.00
Calculated Duties,2019,5,77116155.00
Calculated Duties,2004,1,9089342.00
Calculated Duties,2022,4,27139165.00
Calculated Duties,2005,6,9140429.00
Calculated Duties,2012,8,11234607.00
Calculated Duties,2014,3,14249119.00
Calculated Duties,2001,7,5402475.00
Calculated Duties,2018,1,21012019.00
Calculated Duties,2006,12,8329687.00
Calculated Duties,2022,7,34766160.00
Calculated Duties,2013,3,12406269.00
Calculated Duties,2019,7,20784509.00
Calculated Duties,2013,11,9908963.00
Calculated Duties,2022,11,25864861.00
Calculated Duties,2024,11,31625348.00
Calculated Duties,2024,8,30315394.00
Calculated Duties,2015,1,15996163.00
Calculated Duties,2007,11,7738816.00
Calculated Duties,2024,4,34259617.00
Calculated Duties,2018,8,171126055.00
Calculated Duties,2011,9,12431919.00
Calculated Duties,2020,11,26791514.00
Calculated Duties,2019,9,20972403.00
Calculated Duties,2017,5,17474091.00
Calculated Duties,2012,6,11332054.00
Calculated Duties,2009,7,8441826.00
Calculated Duties,2012,10,11560657.00
Calculated Duties,2014,7,12748905.00
Calculated Duties,2014,6,16185542.00
Calculated Duties,2009,1,8179741.00
Calculated Duties,2015,8,18083739.00
Calculated Duties,2005,7,9400847.00
Calculated Duties,2007,7,8368158.00
Calculated Duties,2015,10,15996629.00
Calculated Duties,2004,4,7065962.00
Calculated Duties,2014,12,14412113.00
Calculated Duties,2023,10,29650940.00
Calculated Duties,2021,4,21266854.00
Calculated Duties,2012,3,11618913.00
Calculated Duties,2014,1,14485716.00
Calculated Duties,2011,8,11063737.00
Calculated Duties,2003,6,6082975.00
Calculated Duties,2019,6,21003451.00
Calculated Duties,2002,9,10715031.00
Calculated Duties,2024,9,31524434.00
Calculated Duties,2010,6,12942309.00
Calculated Duties,2006,4,7512186.00
Calculated Duties,2007,2,7270015.00
Calculated Duties,2017,2,17846498.00
Calculated Duties,2001,6,5389742.00
Calculated Duties,2011,1,10574159.00
Calculated Duties,2009,6,7816817.00
Calculated Duties,2008,10,7620694.00
Calculated Duties,2025,1,43141807.00
Calculated Duties,2004,3,8365108.00
Calculated Duties,2021,10,24275386.00
Calculated Duties,2008,6,8857544.00
Calculated Duties,2018,12,143421426.00
Calculated Duties,2021,5,22501421.00
Calculated Duties,2022,2,25021652.00
Calculated Duties,2023,5,33296521.00
Calculated Duties,2018,5,18463241.00
Calculated Duties,2022,1,26541352.00
Calculated Duties,2003,10,8537923.00
Calculated Duties,2003,8,6556394.00
Calculated Duties,2003,1,95364984.00
Calculated Duties,2012,4,11741133.00
Calculated Duties,2018,6,176448441.00
Calculated Duties,2019,3,136454378.00
Calculated Duties,2003,5,5414600.00
Calculated Duties,2006,6,8738416.00
Calculated Duties,2002,5,5449750.00
Calculated Duties,2011,2,12547805.00
Calculated Duties,2016,11,14707980.00
Calculated Duties,2001,10,7840497.00
Calculated Duties,2012,11,11070503.00
Calculated Duties,2023,8,33317532.00
Calculated Duties,2012,9,10986887.00
Calculated Duties,2025,4,674504025.00
Calculated Duties,2003,11,7096204.00
