Date,Index,SA Index,Smoothed_Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count,Index,SA Index,Smoothed Index,Smoothed SA Index,Sales Pair Count
Jun-90,,,,,,45.27,45.17,,,210,56.92,57.14,,,1356,,,,,,,,,,,62.59,62.92,,,761,,,,,,,,,,,,,,,,59.04,58.63,,,3946,61.04,61.14,,,826,57.26,57.34,,,147
Jul-90,,,,,,46.46,46.23,45.97,46.19,198,54.67,54.87,55.36,55.29,1189,,,,,,,,,,,62.71,62.76,62.65,62.75,792,,,,,,,,,,,,,,,,57.87,58.31,59.13,59.33,1654,60.71,61.46,61.71,61.69,261,57.31,56.94,57.04,56.96,221
Aug-90,,,,,,46.21,45.96,46.19,46.55,267,54.55,54.66,54.67,54.52,1586,,,,,,,,,,,62.67,62.41,62.56,62.52,809,,,,,,,,,,,,,,,,58,58.53,58.82,59.52,1098,60.4,60.85,61.79,62.25,180,56.57,56.56,56.98,56.79,223
Sep-90,,,,,,45.89,46.19,46.3,46.67,210,54.79,54.81,54.48,54.66,1405,,,,,,,,,,,62.31,62.37,62.19,62.23,638,,,,,,,,,,,,,,,,58.23,59.36,58.5,59.44,789,61.46,62.78,61.81,62.48,122,57.07,56.85,56.86,56.76,139
Oct-90,,,,,,46.81,46.95,45.85,46.4,219,54.1,54.57,54.21,54.35,1483,,,,,,,,,,,61.61,61.92,61.71,62.01,578,,,,,,,,,,,,,,,,57.06,58.07,57.78,58.69,928,59.85,60.91,62.42,63.44,160,56.95,56.69,56.3,56.44,110
Nov-90,,,,,,44.88,45.05,45.91,46.3,277,53.75,54.32,55.41,55.71,1833,,,,,,,,,,,61.21,61.88,61.14,61.73,483,,,,,,,,,,,,,,,,55.9,57.39,57.48,58.4,1054,62.35,63.15,62.55,63.37,151,54.93,55.8,55.93,56.49,129
Dec-90,,,,,,46.07,45.89,45.61,46.05,223,58.66,59.15,54.9,55.3,1887,,,,,,,,,,,60.61,61.74,60.91,61.65,452,,,,,,,,,,,,,,,,57.12,57.83,57.5,58.4,832,64.18,65.1,62.71,63.66,75,55.95,56.43,55.46,56.3,107
Jan-91,,,,,,45.91,45.97,45.79,46.2,98,52.67,53.23,54.37,54.81,636,,,,,,,,,,,60.93,61.66,60.68,61.54,277,,,,,,,,,,,,,,,,56.99,58.01,57.52,58.34,701,61.16,62.5,61.79,62.61,86,55.5,56.22,56.15,56.92,88
Feb-91,,,,,,45.39,45.64,46.01,46.45,158,52.25,52.97,52.6,53.21,1003,,,,,,,,,,,60.52,61.72,60.96,61.77,229,,,,,,,,,,,,,,,,56.42,57.55,57.41,58.31,650,59.11,60.86,61.65,62.51,92,57.02,57.51,55.76,56.45,54
Mar-91,,,,,,46.74,46.74,46.19,46.73,287,52.9,53.86,53.07,53.68,2114,,,,,,,,,,,61.42,62.33,60.94,61.87,320,,,,,,,,,,,,,,,,56.62,57.42,57.67,57.98,976,60.91,62.48,61.44,62.39,179,54.82,55.19,56.29,56.87,83
Apr-91,,,,,,46.45,46.62,46.94,47.29,333,54.08,54.53,54.05,54.48,2945,,,,,,,,,,,60.88,61.74,61.25,61.97,438,,,,,,,,,,,,,,,,58.26,58.16,58.23,58.37,1167,60.35,61.88,62.11,62.7,204,57.1,57.63,56.14,56.71,99
May-91,,,,,,47.64,47.42,47.58,47.85,486,55.22,55.29,55.02,55.19,3322,,,,,,,,,,,61.45,62.03,61.21,61.83,487,,,,,,,,,,,,,,,,57.86,57.73,58.77,58.58,2376,61.86,62.14,62.16,62.45,539,56.55,56.8,56.77,57.17,152
Jun-91,,,,,,48.71,48.62,48.64,48.96,437,55.78,56.02,55.81,55.83,3116,,,,,,,,,,,61.31,61.61,61.48,61.84,590,,,,,,,,,,,,,,,,58.44,58.04,58.6,58.54,4002,61.58,61.61,62.37,62.38,871,56.66,56.73,56.91,57.06,184
Jul-91,,,,,,49.62,49.37,49.56,49.81,423,56.44,56.63,56.6,56.56,2755,,,,,,,,,,,61.68,61.74,61.72,61.81,872,,,,,,,,,,,,,,,,57.37,57.79,58.48,58.66,1500,61.08,61.82,62.49,62.43,347,57.53,57.17,57.44,57.37,346
Aug-91,,,,,,50.38,50.15,50.08,50.48,407,57.6,57.74,57.33,57.2,2536,,,,,,,,,,,62.18,61.94,61.88,61.85,801,,,,,,,,,,,,,,,,57.58,58.11,57.9,58.6,1301,61.67,62.04,62.05,62.49,301,58.14,58.11,57.67,57.47,300
Sep-91,,,,,,50.25,50.57,50.55,50.98,330,57.98,58.04,57.87,58.06,1903,,,,,,,,,,,61.76,61.85,61.91,61.96,625,,,,,,,,,,,,,,,,56.33,57.44,57.72,58.65,1138,60.65,61.92,62.14,62.8,198,57.35,57.15,57.32,57.22,160
Oct-91,,,,,,51.04,51.21,51,51.6,300,58.02,58.52,57.81,57.99,2223,,,,,,,,,,,61.79,62.1,61.57,61.87,524,,,,,,,,,,,,,,,,56.77,57.75,57.83,58.77,1166,61,62.12,61.65,62.65,230,56.48,56.25,56.65,56.8,127
Nov-91,,,,,,51.72,51.89,51.9,52.36,384,57.43,58.04,57.94,58.28,2186,,,,,,,,,,,61.17,61.85,61.15,61.75,392,,,,,,,,,,,,,,,,57.22,58.76,58.03,58.95,1227,60.5,61.29,62.25,63.08,232,56.13,56.93,56.82,57.4,118
Dec-91,,,,,,52.98,52.79,52.57,53.08,298,58.36,58.86,58.25,58.69,1636,,,,,,,,,,,60.51,61.62,61.7,62.46,335,,,,,,,,,,,,,,,,57.06,57.79,57.79,58.73,1917,62.22,63.21,62.34,63.29,265,57.89,58.43,57.17,58.05,106
Jan-92,,,,,,53.05,53.15,53.31,53.77,308,58.99,59.6,58.82,59.3,1981,,,,,,,,,,,63.51,64.27,61.39,62.26,263,,,,,,,,,,,,,,,,55.7,56.72,57.49,58.31,534,62.06,63.43,62.93,63.81,94,57.53,58.26,57.49,58.28,123
Feb-92,,,,,,53.93,54.13,53.6,54.09,293,59.12,59.91,59.31,59.94,2105,,,,,,,,,,,60.25,61.45,61.54,62.36,236,,,,,,,,,,,,,,,,56.59,57.69,57.7,58.57,755,63.3,65.21,62.91,63.8,156,57.05,57.53,57.25,57.95,63
Mar-92,,,,,,53.83,53.85,54.1,54.7,352,59.83,60.86,59.77,60.38,3081,,,,,,,,,,,60.97,61.84,60.82,61.73,371,,,,,,,,,,,,,,,,57.98,58.79,58.21,58.51,1956,62.05,63.7,63.05,64.05,287,57.16,57.58,57.14,57.74,94
Apr-92,,,,,,54.53,54.69,54.38,54.77,465,60.39,60.84,60.47,60.86,3726,,,,,,,,,,,61.24,62.07,61.27,61.98,546,,,,,,,,,,,,,,,,57.69,57.61,58.52,58.65,1711,62.04,63.6,63.37,63.98,272,57.22,57.77,57.2,57.76,132
May-92,,,,,,54.77,54.51,54.81,55.14,401,61.21,61.29,60.99,61.15,3171,,,,,,,,,,,61.6,62.16,61.65,62.25,597,,,,,,,,,,,,,,,,57.78,57.66,58.39,58.21,2333,63.66,63.98,63.74,64.02,571,57.24,57.42,57.63,58.01,194
Jun-92,,,,,,55.13,55.09,54.91,55.28,492,61.38,61.71,61.5,61.53,3107,,,,,,,,,,,62.11,62.39,62.08,62.43,808,,,,,,,,,,,,,,,,57.6,57.2,58.15,58.08,4913,63.35,63.24,64.07,64.06,1239,58.45,58.53,58.26,58.37,176
Jul-92,,,,,,54.83,54.58,55.38,55.68,438,61.9,62.09,61.83,61.87,2961,,,,,,,,,,,62.53,62.63,62.53,62.6,971,,,,,,,,,,,,,,,,56.99,57.36,57.55,57.72,1192,62.64,63.33,64.06,63.94,396,59.12,58.77,58.59,58.54,420
Aug-92,,,,,,56.22,56.01,55.67,56.11,430,62.2,62.41,62.34,62.29,2806,,,,,,,,,,,62.96,62.76,62.75,62.76,883,,,,,,,,,,,,,,,,55.96,56.51,57.29,57.99,1107,63.11,63.39,63.61,64.04,306,58.23,58.16,58.75,58.55,283
Sep-92,,,,,,55.97,56.29,56.29,56.82,436,62.91,63.05,62.72,62.94,3117,,,,,,,,,,,62.75,62.9,62.75,62.83,874,,,,,,,,,,,,,,,,56.61,57.74,57.15,58.06,1174,61.64,62.9,63.37,64.02,251,58.91,58.75,58.96,58.87,135
Oct-92,,,,,,56.68,56.92,56.55,57.2,465,63.05,63.57,63.37,63.62,3455,,,,,,,,,,,62.54,62.85,62.75,63.07,640,,,,,,,,,,,,,,,,56.65,57.59,57.13,58.11,1164,62.66,63.81,63.08,64.1,311,59.76,59.62,59.05,59.21,100
Nov-92,,,,,,57.01,57.19,57.14,57.66,491,64.17,64.86,63.94,64.36,4097,,,,,,,,,,,62.97,63.67,62.56,63.18,661,,,,,,,,,,,,,,,,55.95,57.46,57.17,58.09,1321,62.28,63.18,63.22,64.1,262,58.5,59.18,58.89,59.54,80
Dec-92,,,,,,57.73,57.53,57.69,58.24,278,64.61,65.22,64.59,65.08,1971,,,,,,,,,,,62.17,63.28,62.4,63.18,506,,,,,,,,,,,,,,,,56.93,57.68,56.67,57.64,1337,62.36,63.5,63.33,64.33,280,58.41,59.05,58.29,59.21,84
Jan-93,,,,,,58.34,58.49,57.91,58.39,242,64.99,65.65,65.14,65.68,1831,,,,,,,,,,,62.06,62.8,62.43,63.33,262,,,,,,,,,,,,,,,,54.86,55.9,57.01,57.83,626,61.92,63.29,63.62,64.58,126,57.97,58.71,58.52,59.34,77
Feb-93,,,,,,57.67,57.74,58.38,58.89,262,65.83,66.67,65.55,66.16,1661,,,,,,,,,,,63.06,64.3,62.44,63.27,226,,,,,,,,,,,,,,,,56.83,57.86,56.93,57.75,683,63.47,65.47,63.48,64.38,128,59.21,59.73,58.91,59.62,103
Mar-93,,,,,,59.15,59.21,58.57,59.16,349,65.84,66.83,66.23,66.79,2769,,,,,,,,,,,62.21,63.08,62.55,63.47,333,,,,,,,,,,,,,,,,56.75,57.49,57.47,57.76,1127,61.79,63.44,63.26,64.28,195,59.57,60.02,59.29,59.9,145
Apr-93,,,,,,58.92,58.97,59.51,59.93,382,67.04,67.45,66.94,67.24,3389,,,,,,,,,,,62.38,63.16,62.37,63.05,447,,,,,,,,,,,,,,,,57.16,57.16,57.56,57.68,1620,62,63.56,62.97,63.59,295,59.07,59.65,59.56,60.06,187
May-93,,,,,,60.51,60.22,60.02,60.39,467,67.98,68.09,67.43,67.59,3286,,,,,,,,,,,62.52,63.07,62.72,63.28,500,,,,,,,,,,,,,,,,57.3,57.17,57.9,57.72,2272,62.5,62.85,63.63,63.87,522,60.04,60.09,59.23,59.57,275
Jun-93,,,,,,60.67,60.75,60.58,61.03,506,67.28,67.7,67.89,67.96,3985,,,,,,,,,,,63.26,63.53,63.05,63.37,842,,,,,,,,,,,,,,,,57.82,57.43,58.04,57.94,4751,64.35,64.07,64.03,63.97,1187,58.6,58.61,59.4,59.45,154
Jul-93,,,,,,60.57,60.38,60.43,60.81,472,68.41,68.6,67.98,68.12,3215,,,,,,,,,,,63.37,63.5,63.46,63.54,935,,,,,,,,,,,,,,,,57.37,57.71,57.81,57.96,1659,63.37,64,64.46,64.3,464,59.56,59.23,59.58,59.56,263
Aug-93,,,,,,60.04,59.87,60,60.48,452,68.25,68.56,68.37,68.44,2968,,,,,,,,,,,63.76,63.66,63.53,63.59,1018,,,,,,,,,,,,,,,,56.51,57.12,57.26,57.94,1210,64.08,64.3,63.9,64.28,321,60.6,60.57,60.07,59.92,266
Sep-93,,,,,,59.39,59.62,59.94,60.53,356,68.45,68.69,68.43,68.69,2796,,,,,,,,,,,63.47,63.67,63.56,63.68,757,,,,,,,,,,,,,,,,56.14,57.24,56.94,57.83,1199,62.52,63.65,63.62,64.25,230,60.06,60.01,60.17,60.13,255
