
"date","INDINF_OUTGAPMPR_Q","INDINF_OUTGAPR_Q"
"1991Q3","-2.5",""
"1991Q4","-2.6",""
"1992Q1","-2.9",""
"1992Q2","-3.1",""
"1992Q3","-3.0",""
"1992Q4","-2.8",""
"1993Q1","-2.5",""
"1993Q2","-2.2",""
"1993Q3","-1.8",""
"1993Q4","-1.7",""
"1994Q1","-1.0",""
"1994Q2","-0.3",""
"1994Q3","0.3",""
"1994Q4","0.5",""
"1995Q1","0.7",""
"1995Q2","0.1",""
"1995Q3","-0.3",""
"1995Q4","-0.6",""
"1996Q1","-1.1",""
"1996Q2","-1.1",""
"1996Q3","-1.1",""
"1996Q4","-1.1",""
"1997Q1","-0.7",""
"1997Q2","-0.4",""
"1997Q3","-0.1",""
"1997Q4","0.0",""
"1998Q1","0.4",""
"1998Q2","-0.2",""
"1998Q3","-0.1",""
"1998Q4","0.2",""
"1999Q1","0.8",""
"1999Q2","0.9",""
"1999Q3","1.4",""
"1999Q4","1.8",""
"2000Q1","2.2",""
"2000Q2","2.4",""
"2000Q3","2.5",""
"2000Q4","2.0",""
"2001Q1","1.7",""
"2001Q2","1.3",""
"2001Q3","0.6",""
"2001Q4","0.3",""
"2002Q1","0.9",""
"2002Q2","0.9",""
"2002Q3","1.1",""
"2002Q4","1.0",""
"2003Q1","1.0",""
"2003Q2","0.4",""
"2003Q3","0.2",""
"2003Q4","0.4",""
"2004Q1","0.5",""
"2004Q2","1.0",""
"2004Q3","1.4",""
"2004Q4","1.5",""
"2005Q1","1.3",""
"2005Q2","1.4",""
"2005Q3","1.8",""
"2005Q4","2.1",""
"2006Q1","2.2",""
"2006Q2","1.8",""
"2006Q3","1.5",""
"2006Q4","1.4",""
"2007Q1","1.5",""
"2007Q2","1.8",""
"2007Q3","1.7",""
"2007Q4","1.4",""
"2008Q1","1.1",""
"2008Q2","1.0",""
"2008Q3","1.3",""
"2008Q4","0.0",""
"2009Q1","-2.2",""
"2009Q2","-3.4",""
"2009Q3","-3.2",""
"2009Q4","-2.5",""
"2010Q1","-1.6",""
"2010Q2","-1.4",""
"2010Q3","-1.1",""
"2010Q4","-0.4",""
"2011Q1","-0.1",""
"2011Q2","-0.3",""
"2011Q3","0.4","-0.8"
"2011Q4","0.6","-0.7"
"2012Q1","0.3","-0.6"
"2012Q2","0.2","-0.4"
"2012Q3","-0.2","-0.8"
"2012Q4","-0.5","-1.2"
"2013Q1","-0.2","-1.2"
"2013Q2","-0.2","-1.4"
"2013Q3","-0.1","-1.4"
"2013Q4","0.2","-0.9"
"2014Q1","0.0","-1.1"
"2014Q2","0.2","-1.1"
"2014Q3","0.5","-0.9"
"2014Q4","0.6","-0.6"
"2015Q1","-0.1","-1.1"
"2015Q2","-0.6","-1.6"
"2015Q3","-0.7","-0.9"
"2015Q4","-1.0","-1.3"
"2016Q1","-0.9","-1.1"
"2016Q2","-1.6","-1.8"
"2016Q3","-1.2","-1.3"
"2016Q4","-1.0","-1.4"
"2017Q1","-0.4","-0.8"
"2017Q2","0.2","-0.1"
"2017Q3","0.0","-0.1"
"2017Q4","0.1","-0.2"
"2018Q1","0.6","-0.3"
"2018Q2","0.8","-0.1"
"2018Q3","0.9","-0.3"
"2018Q4","0.7","-0.4"
"2019Q1","0.5","-0.7"
"2019Q2","1.0","-0.3"
"2019Q3","0.8","-0.2"
"2019Q4","0.6","-0.3"
"2020Q1","-1.6","-2.2"
"2020Q2","-6.0","-6.4"
"2020Q3","-3.9","-3.9"
"2020Q4","-2.9","-3.7"
"2021Q1","-1.6","-2.6"
"2021Q2","-1.9","-2.7"
"2021Q3","-0.3","-1.8"
"2021Q4","1.4","-0.3"
"2022Q1","1.7","0.3"
"2022Q2","2.0","0.9"
"2022Q3","1.8","1.1"
"2022Q4","1.2","0.7"
"2023Q1","1.6","0.8"
"2023Q2","1.2","0.2"
"2023Q3","0.5","-0.1"
"2023Q4","-0.1","-0.9"
"2024Q1","-0.5","-1.2"
"2024Q2","-0.5","-1.1"
"2024Q3","-0.6","-0.9"
"2024Q4","-0.5","-0.5"
"2025Q1","-0.4","-0.4"
