TERMS AND CONDITIONS,,,,,,,
https://www.bankofcanada.ca/terms/,,,,,,,
,,,,,,,
NAME,,,,,,,
Wages and Costs,,,,,,,
,,,,,,,
DESCRIPTION,,,,,,,
" Year-over-year percentage change, monthly data",,,,,,,
,,,,,,,
SERIES,,,,,,,
id,label,description,,,,,
INDINF_LFSMICRO_M,LFS-Micro,Year-over-year percentage change,,,,,
INDINF_LFSMICRO_LEVELS_M,LFS-Micro (2017=100),,,,,,
INDINF_LFSWC_M,Labour Force Survey,Year-over-year percentage change,,,,,
INDINF_SEPHWC_M,"Survey of Employment, Payrolls and Hours",Year-over-year percentage change,,,,,
INDINF_CPITOT_M,Bank of Canada commodity price index - Total,Year-over-year percentage change,,,,,
INDINF_CPIENER_M,Bank of Canada commodity price index - Energy,Year-over-year percentage change,,,,,
INDINF_CPINE_M,Bank of Canada commodity price index - Non-energy,Year-over-year percentage change,,,,,
,,,,,,,
OBSERVATIONS,,,,,,,
date,INDINF_LFSMICRO_M,INDINF_LFSMICRO_LEVELS_M,INDINF_LFSWC_M,INDINF_SEPHWC_M,INDINF_CPITOT_M,INDINF_CPIENER_M,INDINF_CPINE_M
1/1/1993,,,,,4.6,2,5.8
2/1/1993,,,,,7.9,6.2,8.6
3/1/1993,,,,,11.9,10.2,12.7
4/1/1993,,,,,5.4,6,5.1
5/1/1993,,,,,1.3,4,0.2
6/1/1993,,,,,-3.5,-8.4,-1.2
7/1/1993,,,,,-4.1,-9.5,-1.5
8/1/1993,,,,,-2.6,-8.6,0.4
9/1/1993,,,,,-3.4,-11.3,0.5
10/1/1993,,,,,-1.9,-14.5,4.5
11/1/1993,,,,,1.6,-12.2,8.7
12/1/1993,,,,,1.8,-14,10
1/1/1994,,,,,2.1,-13,9.8
2/1/1994,,,,,-1,-12.3,4.6
3/1/1994,,,,,-5.1,-14.7,-0.4
4/1/1994,,,,,-3.8,-13.8,1.3
5/1/1994,,,,,3,-11.8,10.7
6/1/1994,,,,,7.1,-5.1,13.3
7/1/1994,,,,,8.1,0.8,11.9
8/1/1994,,,,,5.9,-4.7,11.3
9/1/1994,,,,,2.8,-9.4,9
10/1/1994,,,,,3.3,-11.1,10.6
11/1/1994,,,,,4.3,-4.4,8.6
12/1/1994,,,,,2.4,-0.7,3.8
1/1/1995,,,,,4.4,0,6.3
2/1/1995,,,,,2.6,-2.2,4.5
3/1/1995,,,,,3.3,-3.3,6
4/1/1995,,,,,6.7,0.5,9.6
5/1/1995,,,,,2.9,-2.4,5.4
6/1/1995,,,,,2.9,-7.1,7.2
7/1/1995,,,,,5.3,-13.4,13.7
8/1/1995,,,,,6.6,-9.4,13.5
9/1/1995,,,,,12.2,-1.8,18
10/1/1995,,,,,10.6,-0.3,14.8
11/1/1995,,,,,7.9,-1.7,11.7
12/1/1995,,,,,10.4,6.4,12
1/1/1996,,,,,5.9,10.8,4.1
2/1/1996,,,,,6.7,11,5.2
3/1/1996,,,,,8.2,20.9,3.4
4/1/1996,,,,,10.5,20.9,6.1
5/1/1996,,,,,10,9.4,10.2
6/1/1996,,,,,6.4,11.5,4.6
7/1/1996,,,,,5.4,21.9,-0.2
8/1/1996,,,,,6.3,24,0.3
9/1/1996,,,,,0.8,22.8,-6.8
10/1/1996,,,,,3.2,29.2,-5.7
11/1/1996,,,,,4.5,32.3,-5.3
12/1/1996,,,,,5.6,41.7,-7.1
1/1/1997,,62.4298,,,8.3,40.1,-3.6
2/1/1997,,62.4432,,,2.3,20.2,-4.6
3/1/1997,,62.501,,,-3.9,-6.6,-2.1
4/1/1997,,62.5131,,,-7.3,-15.5,-2.7
5/1/1997,,62.5626,,,-5.4,-1.8,-6.4
6/1/1997,,62.5636,,,-4.8,-0.7,-6
7/1/1997,,62.7809,,,-6.5,-5.3,-6.4
8/1/1997,,62.8644,,,-7.6,-7.6,-7
9/1/1997,,62.9277,,,-6.3,-6.9,-5.6
10/1/1997,,62.9569,,,-4.3,0.6,-6.2
11/1/1997,,63.101,,,-6.4,-4.1,-7.1
12/1/1997,,63.1198,,,-15.2,-26.8,-9
1/1/1998,1.3,63.2177,1.2,1,-19.5,-33.7,-11.8
2/1/1998,1.4,63.291,1.1,2,-15.5,-26.7,-10
3/1/1998,1.2,63.2475,1,1.8,-12.4,-13.4,-12.2
4/1/1998,1.4,63.4135,1,1.9,-9.9,-8,-11.2
5/1/1998,1.6,63.5351,1,0.8,-13.3,-13.9,-13.3
6/1/1998,1.9,63.7738,1.5,2.2,-15.1,-18.9,-13.7
7/1/1998,1.6,63.761,1.1,2,-13.9,-14.6,-13.9
8/1/1998,1.4,63.7228,1.3,2.3,-15.7,-19.8,-14.2
9/1/1998,1.4,63.7963,1.3,1.7,-15.6,-20.6,-13.5
10/1/1998,1.6,63.9554,1.5,1.8,-18.4,-26.5,-14.6
11/1/1998,1.6,64.087,1.5,1.9,-18.8,-28.8,-13.9
12/1/1998,1.7,64.2091,1.5,1.5,-15.1,-22.7,-11.7
1/1/1999,1.7,64.3183,1.7,1.2,-8.5,-15.6,-5.2
