"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXMAUDCAD","AUD/CAD","Australian dollar to Canadian dollar monthly exchange rate"
"FXMCHFCAD","CHF/CAD","Swiss franc to Canadian dollar monthly exchange rate"
"FXMCNYCAD","CNY/CAD","Chinese renminbi to Canadian dollar monthly exchange rate"
"FXMEURCAD","EUR/CAD","European euro to Canadian dollar monthly exchange rate"
"FXMGBPCAD","GBP/CAD","UK pound sterling to Canadian dollar monthly exchange rate"
"FXMJPYCAD","JPY/CAD","Japanese yen to Canadian dollar monthly exchange rate"
"FXMMXNCAD","MXN/CAD","Mexican peso to Canadian dollar monthly exchange rate"
"FXMNZDCAD","NZD/CAD","New Zealand dollar to Canadian dollar monthly exchange rate"
"FXMSEKCAD","SEK/CAD","Swedish krona to Canadian dollar monthly exchange rate"
"FXMUSDCAD","USD/CAD","US dollar to Canadian dollar monthly exchange rate"

"OBSERVATIONS"
"date","FXMAUDCAD","FXMCHFCAD","FXMCNYCAD","FXMEURCAD","FXMGBPCAD","FXMJPYCAD","FXMMXNCAD","FXMNZDCAD","FXMSEKCAD","FXMUSDCAD"
"2017-01-01","0.9854","1.3093","0.1914","1.4028","1.6289","0.01149","0.06165","0.9408","0.1475","1.3193"
"2017-02-01","1.0045","1.3087","0.1907","1.3951","1.6367","0.01160","0.06462","0.9472","0.1472","1.3107"
"2017-03-01","1.0204","1.3362","0.1941","1.4307","1.6524","0.01186","0.06942","0.9377","0.1501","1.3386"
"2017-04-01","1.0121","1.3431","0.1951","1.4406","1.6994","0.01220","0.07161","0.9364","0.1501","1.3440"
"2017-05-01","1.0116","1.3787","0.1976","1.5029","1.7580","0.01212","0.07251","0.9455","0.1549","1.3607"
"2017-06-01","1.0053","1.3738","0.1953","1.4940","1.7030","0.01199","0.07333","0.9614","0.1532","1.3298"
"2017-07-01","0.9902","1.3212","0.1874","1.4628","1.6488","0.01129","0.07127","0.9337","0.1526","1.2689"
"2017-08-01","0.9977","1.3061","0.1891","1.4890","1.6324","0.01148","0.07082","0.9202","0.1560","1.2605"
"2017-09-01","0.9790","1.2756","0.1869","1.4630","1.6383","0.01108","0.06888","0.8912","0.1533","1.2283"
"2017-10-01","0.9814","1.2832","0.1902","1.4816","1.6638","0.01116","0.06697","0.8871","0.1541","1.2605"
"2017-11-01","0.9733","1.2883","0.1929","1.5000","1.6893","0.01133","0.06752","0.8794","0.1523","1.2769"
"2017-12-01","0.9760","1.2934","0.1936","1.5111","1.7118","0.01131","0.06672","0.8891","0.1521","1.2771"
"2018-01-01","0.9888","1.2940","0.1934","1.5165","1.7180","0.01121","0.06573","0.9029","0.1545","1.2427"
"2018-02-01","0.9901","1.3456","0.1991","1.5533","1.7571","0.01166","0.06749","0.9192","0.1563","1.2586"
"2018-03-01","1.0038","1.3645","0.2045","1.5950","1.8070","0.01219","0.06946","0.9384","0.1570","1.2932"
"2018-04-01","0.9782","1.3150","0.2021","1.5628","1.7922","0.01183","0.06927","0.9223","0.1506","1.2733"
"2018-05-01","0.9686","1.2912","0.2020","1.5212","1.7335","0.01174","0.06593","0.8951","0.1469","1.2873"
"2018-06-01","0.9838","1.3261","0.2030","1.5329","1.7443","0.01193","0.06469","0.9111","0.1491","1.3129"
"2018-07-01","0.9724","1.3202","0.1954","1.5347","1.7292","0.01178","0.06927","0.8918","0.1490","1.3130"
"2018-08-01","0.9550","1.3206","0.1905","1.5059","1.6790","0.01175","0.06912","0.8693","0.1437","1.3041"
"2018-09-01","0.9391","1.3466","0.1901","1.5207","1.7035","0.01163","0.06860","0.8600","0.1458","1.3037"
"2018-10-01","0.9248","1.3087","0.1880","1.4941","1.6926","0.01154","0.06780","0.8503","0.1439","1.3010"
"2018-11-01","0.9572","1.3195","0.1903","1.5010","1.7029","0.01165","0.06521","0.8950","0.1458","1.3200"
"2018-12-01","0.9637","1.3541","0.1951","1.5288","1.7020","0.01197","0.06681","0.9163","0.1488","1.3432"
"2019-01-01","0.9512","1.3440","0.1959","1.5186","1.7154","0.01221","0.06939","0.9017","0.1479","1.3301"
"2019-02-01","0.9428","1.3187","0.1960","1.4990","1.7188","0.01196","0.06881","0.9023","0.1427","1.3206"
"2019-03-01","0.9467","1.3361","0.1991","1.5105","1.7602","0.01203","0.06950","0.9135","0.1439","1.3368"
"2019-04-01","0.9512","1.3271","0.1991","1.5029","1.7433","0.01198","0.07051","0.8985","0.1434","1.3378"
"2019-05-01","0.9348","1.3316","0.1964","1.5057","1.7292","0.01224","0.07043","0.8832","0.1403","1.3459"
"2019-06-01","0.9230","1.3448","0.1926","1.5009","1.6844","0.01229","0.06894","0.8771","0.1413","1.3287"
"2019-07-01","0.9146","1.3260","0.1904","1.4687","1.6323","0.01210","0.06878","0.8750","0.1391","1.3101"
"2019-08-01","0.8991","1.3557","0.1880","1.4767","1.6141","0.01250","0.06742","0.8532","0.1376","1.3277"
"2019-09-01","0.9022","1.3366","0.1861","1.4578","1.6375","0.01231","0.06772","0.8401","0.1364","1.3241"
"2019-10-01","0.8964","1.3280","0.1858","1.4583","1.6684","0.01220","0.06824","0.8356","0.1350","1.3190"
"2019-11-01","0.9035","1.3328","0.1885","1.4627","1.7058","0.01216","0.06846","0.8470","0.1374","1.3239"
"2019-12-01","0.9066","1.3405","0.1878","1.4640","1.7270","0.01208","0.06890","0.8686","0.1397","1.3172"
"2020-01-01","0.8968","1.3495","0.1890","1.4523","1.7106","0.01197","0.06960","0.8639","0.1376","1.3087"
"2020-02-01","0.8854","1.3610","0.1899","1.4494","1.7210","0.01207","0.07049","0.8489","0.1371","1.3286"
"2020-03-01","0.8671","1.4555","0.1987","1.5417","1.7239","0.01296","0.06263","0.8440","0.1419","1.3953"
"2020-04-01","0.8865","1.4484","0.1987","1.5276","1.7453","0.01305","0.05803","0.8447","0.1403","1.4058"
"2020-05-01","0.9105","1.4411","0.1966","1.5236","1.7188","0.01303","0.05958","0.8509","0.1437","1.3970"
"2020-06-01","0.9348","1.4240","0.1913","1.5257","1.6969","0.01259","0.06079","0.8735","0.1456","1.3550"
"2020-07-01","0.9502","1.4466","0.1927","1.5499","1.7135","0.01265","0.06031","0.8901","0.1498","1.3499"
"2020-08-01","0.9527","1.4534","0.1909","1.5646","1.7374","0.01247","0.05961","0.8725","0.1518","1.3222"
"2020-09-01","0.9558","1.4457","0.1942","1.5591","1.7126","0.01253","0.06111","0.8816","0.1495","1.3228"
"2020-10-01","0.9413","1.4484","0.1965","1.5553","1.7150","0.01256","0.06212","0.8772","0.1496","1.3215"
"2020-11-01","0.9512","1.4351","0.1979","1.5471","1.7262","0.01252","0.06403","0.8977","0.1512","1.3068"
"2020-12-01","0.9645","1.4417","0.1958","1.5586","1.7209","0.01234","0.06418","0.9085","0.1532","1.2808"
"2021-01-01","0.9826","1.4347","0.1967","1.5484","1.7352","0.01226","0.06388","0.9151","0.1534","1.2724"
"2021-02-01","0.9844","1.4140","0.1966","1.5356","1.7605","0.01205","0.06248","0.9197","0.1522","1.2699"
"2021-03-01","0.9691","1.3522","0.1931","1.4962","1.7427","0.01156","0.06057","0.8970","0.1472","1.2574"
"2021-04-01","0.9627","1.3566","0.1917","1.4963","1.7298","0.01147","0.06236","0.8912","0.1472","1.2496"
"2021-05-01","0.9413","1.3431","0.1886","1.4729","1.7078","0.01111","0.06071","0.8764","0.1452","1.2126"
"2021-06-01","0.9338","1.3457","0.1902","1.4719","1.7135","0.01110","0.06103","0.8681","0.1455","1.2219"
"2021-07-01","0.9294","1.3657","0.1935","1.4812","1.7303","0.01137","0.06274","0.8747","0.1452","1.2529"
"2021-08-01","0.9201","1.3775","0.1946","1.4826","1.7384","0.01147","0.06274","0.8793","0.1451","1.2603"
