date,price
2006-01,95.0
2006-02,88.0
2006-03,93.3
2006-04,106.2
2006-05,104.6
2006-06,104.5
2006-07,109.7
2006-08,109.6
2006-09,89.7
2006-10,86.5
2006-11,86.5
2006-12,90.1
2007-01,87.1
2007-02,91.0
2007-03,102.4
2007-04,105.2
2007-05,111.5
2007-06,106.1
2007-07,106.4
2007-08,100.8
2007-09,101.9
2007-10,98.0
2007-11,102.4
2007-12,104.0
2008-01,106.0
2008-02,106.6
2008-03,110.3
2008-04,117.5
2008-05,128.0
2008-06,135.1
2008-07,136.6
2008-08,127.3
2008-09,128.6
2008-10,110.9
2008-11,86.8
2008-12,76.5
2009-01,81.0
2009-02,85.1
2009-03,87.1
2009-04,87.8
2009-05,95.6
2009-06,101.6
2009-07,97.4
2009-08,100.5
2009-09,98.8
2009-10,96.5
2009-11,99.6
2009-12,96.1
2010-01,100.4
2010-02,98.8
2010-03,102.4
2010-04,102.7
2010-05,101.8
2010-06,98.6
2010-07,102.2
2010-08,101.9
2010-09,101.8
2010-10,105.1
2010-11,106.8
2010-12,109.5
2011-01,113.5
2011-02,114.3
2011-03,121.9
2011-04,129.6
2011-05,132.0
2011-06,127.0
2011-07,131.1
2011-08,125.5
2011-09,125.0
2011-10,124.4
2011-11,121.3
2011-12,117.8
2012-01,121.3
2012-02,124.2
2012-03,129.8
2012-04,134.1
2012-05,129.0
2012-06,125.2
2012-07,125.3
2012-08,128.4
2012-09,131.1
2012-10,129.3
2012-11,121.8
2012-12,118.6
2013-01,118.5
2013-02,129.0
2013-03,129.1
2013-04,125.4
2013-05,127.4
2013-06,131.0
2013-07,132.6
2013-08,131.2
2013-09,130.3
2013-10,123.8
2013-11,122.5
2013-12,123.9
2014-01,123.9
2014-02,126.9
2014-03,131.4
2014-04,134.3
2014-05,134.8
2014-06,137.9
2014-07,134.7
2014-08,130.9
2014-09,129.7
2014-10,124.3
2014-11,114.8
2014-12,103.2
2015-01,90.6
2015-02,100.2
2015-03,106.4
2015-04,106.0
2015-05,112.4
2015-06,118.8
2015-07,119.1
2015-08,115.0
2015-09,105.8
2015-10,103.9
2015-11,103.7
2015-12,99.1
2016-01,92.6
2016-02,86.7
2016-03,91.9
2016-04,100.0
2016-05,104.1
2016-06,108.6
2016-07,102.1
2016-08,101.9
2016-09,102.8
2016-10,106.7
2016-11,101.0
2016-12,104.9
2017-01,112.2
2017-02,106.5
2017-03,106.0
2017-04,116.1
2017-05,110.9
2017-06,106.5
2017-07,107.0
2017-08,109.7
2017-09,116.0
2017-10,112.4
2017-11,120.8
2017-12,116.9
2018-01,120.6
2018-02,119.7
2018-03,123.1
2018-04,131.6
2018-05,135.9
2018-06,132.9
2018-07,133.9
2018-08,131.8
2018-09,130.4
2018-10,125.9
2018-11,113.8
2018-12,106.4
2019-01,103.1
2019-02,105.1
2019-03,117.7
2019-04,129.5
2019-05,130.7
2019-06,119.9
2019-07,124.4
2019-08,117.9
2019-09,116.9
2019-10,117.2
2019-11,115.0
2019-12,114.5
2020-01,114.6
2020-02,112.2
2020-03,91.3
2020-04,77.8
2020-05,91.4
2020-06,101.0
2020-07,105.5
2020-08,104.6
2020-09,104.1
2020-10,102.6
2020-11,101.1
2020-12,104.4
2021-01,111.0
2021-02,118.2
2021-03,125.0
2021-04,127.5
2021-05,131.5
2021-06,133.7
2021-07,138.4
2021-08,139.0
2021-09,138.9
2021-10,146.0
2021-11,145.8
2021-12,140.0
2022-01,146.6
2022-02,156.8
2022-03,175.2
2022-04,173.8
2022-05,194.8
2022-06,207.2
2022-07,187.8
2022-08,169.6
2022-09,156.4
2022-10,171.5
2022-11,165.3
2022-12,143.6
2023-01,150.3
2023-02,148.5
2023-03,150.3
2023-04,160.1
2023-05,158.8
2023-06,161.6
2023-07,163.1
2023-08,170.6
2023-09,168.3
2023-10,157.4
2023-11,152.2
2023-12,145.4
2024-01,144.1
2024-02,149.9
2024-03,157.3
2024-04,169.8
2024-05,167.6
2024-06,162.4
2024-07,166.5
2024-08,162.1
2024-09,150.3
2024-10,151.6
2024-11,151.4
2024-12,150.5
2025-01,156.7
2025-02,157.7
2025-03,154.8
2025-04,139.2
2025-05,141.7
2025-06,140.7
July 2025,139.6
